corr,p_value,significant,correlation of,repo,Methods considered
0.58,0,yes,stdSLOC_with_bugs,atmosphere,all
0.32,0,yes,stdSLOC_with_bugs,checkstyle,all
0.22,1.34E-39,yes,stdSLOC_with_bugs,commons-io,all
0.37,0,yes,stdSLOC_with_bugs,commons-lang,all
0.39,2.41E-237,yes,stdSLOC_with_bugs,cucumber-jvm,all
0.32,0,yes,stdSLOC_with_bugs,docx4j,all
0.45,0,yes,stdSLOC_with_bugs,drill,all
0.36,0,yes,stdSLOC_with_bugs,DSpace,all
0.5,7.93E-286,yes,stdSLOC_with_bugs,Essentials,all
0.41,0,yes,stdSLOC_with_bugs,fastjson,all
0.46,0,yes,stdSLOC_with_bugs,flink,all
0.48,4.23E-280,yes,stdSLOC_with_bugs,flyway,all
0.27,6.69E-53,yes,stdSLOC_with_bugs,gson,all
0.19,0,yes,stdSLOC_with_bugs,guava,all
0.48,2.00E-205,yes,stdSLOC_with_bugs,hawtio,all
0.49,3.03E-179,yes,stdSLOC_with_bugs,hector,all
0.22,0,yes,stdSLOC_with_bugs,hibernate-orm,all
0.26,4.82E-302,yes,stdSLOC_with_bugs,hibernate-search,all
0.49,1.47E-272,yes,stdSLOC_with_bugs,Hystrix,all
0.35,0,yes,stdSLOC_with_bugs,javaparser,all
0.37,0,yes,stdSLOC_with_bugs,jetty.project,all
0.16,8.15E-93,yes,stdSLOC_with_bugs,jgit,all
0.35,7.47E-136,yes,stdSLOC_with_bugs,jna,all
0.36,8.35E-138,yes,stdSLOC_with_bugs,junit4,all
0.3,6.25E-162,yes,stdSLOC_with_bugs,junit5,all
0.33,0,yes,stdSLOC_with_bugs,logging-log4j2,all
0.39,4.27E-212,yes,stdSLOC_with_bugs,lombok,all
0.42,0,yes,stdSLOC_with_bugs,mockito,all
0.36,0,yes,stdSLOC_with_bugs,mongo-java-driver,all
0.4,0,yes,stdSLOC_with_bugs,mybatis-3,all
0.47,0,yes,stdSLOC_with_bugs,netty,all
0.46,2.56E-274,yes,stdSLOC_with_bugs,okhttp,all
0.34,0,yes,stdSLOC_with_bugs,openmrs-core,all
0.48,0,yes,stdSLOC_with_bugs,pmd,all
0.26,5.36E-61,yes,stdSLOC_with_bugs,rabbitmq-java-client,all
0.43,0,yes,stdSLOC_with_bugs,RxJava,all
0.33,0,yes,stdSLOC_with_bugs,sonarqube,all
0.28,0,yes,stdSLOC_with_bugs,soot,all
0.41,3.78E-47,yes,stdSLOC_with_bugs,spark,all
0.33,0,yes,stdSLOC_with_bugs,spring-boot,all
0.28,0,yes,stdSLOC_with_bugs,spring-framework,all
0.43,4.65E-296,yes,stdSLOC_with_bugs,swagger-core,all
0.54,0,yes,stdSLOC_with_bugs,titan,all
0.35,2.03E-127,yes,stdSLOC_with_bugs,truth,all
0.45,7.72E-198,yes,stdSLOC_with_bugs,Twitter4J,all
0.47,0,yes,stdSLOC_with_bugs,voldemort,all
0.46,1.06E-213,yes,stdSLOC_with_bugs,vraptor4,all
0.4,0,yes,stdSLOC_with_bugs,wicket,all
0.45,0,yes,stdSLOC_with_bugs,wildfly,all
0.5,0,yes,stdSLOC_with_revisions,antlr4,all
0.27,0,yes,stdSLOC_with_revisions,assertj-core,all
0.47,0,yes,stdSLOC_with_revisions,astyanax,all
0.58,0,yes,stdSLOC_with_revisions,atmosphere,all
0.45,0,yes,stdSLOC_with_revisions,drill,all
0.46,0,yes,stdSLOC_with_revisions,DSpace,all
0.56,0,yes,stdSLOC_with_revisions,Essentials,all
0.44,0,yes,stdSLOC_with_revisions,flink,all
0.47,7.25E-281,yes,stdSLOC_with_revisions,flyway,all
0.3,0,yes,stdSLOC_with_revisions,guava,all
0.38,9.11E-139,yes,stdSLOC_with_revisions,hawtio,all
0.51,4.40E-230,yes,stdSLOC_with_revisions,hector,all
0.26,0,yes,stdSLOC_with_revisions,hibernate-orm,all
0.54,0,yes,stdSLOC_with_revisions,Hystrix,all
0.49,0,yes,stdSLOC_with_revisions,jetty.project,all
0.41,0,yes,stdSLOC_with_revisions,logging-log4j2,all
0.41,2.00E-265,yes,stdSLOC_with_revisions,lombok,all
0.46,0,yes,stdSLOC_with_revisions,mongo-java-driver,all
0.32,2.16E-231,yes,stdSLOC_with_revisions,mybatis-3,all
0.47,0,yes,stdSLOC_with_revisions,netty,all
0.41,0,yes,stdSLOC_with_revisions,openmrs-core,all
0.47,4.87E-224,yes,stdSLOC_with_revisions,rabbitmq-java-client,all
0.42,0,yes,stdSLOC_with_revisions,RxJava,all
0.47,0,yes,stdSLOC_with_revisions,sonarqube,all
0.34,0,yes,stdSLOC_with_revisions,soot,all
0.39,1.02E-45,yes,stdSLOC_with_revisions,spark,all
0.41,0,yes,stdSLOC_with_revisions,spring-framework,all
0.44,0,yes,stdSLOC_with_revisions,swagger-core,all
0.49,2.07E-299,yes,stdSLOC_with_revisions,truth,all
0.49,1.13E-284,yes,stdSLOC_with_revisions,Twitter4J,all
0.56,0,yes,stdSLOC_with_revisions,voldemort,all
0.52,0,yes,stdSLOC_with_revisions,vraptor4,all
0.46,0,yes,stdSLOC_with_revisions,wildfly,all
0.38,0,yes,stdSLOC_with_revisions,ant,all
0.37,0,yes,stdSLOC_with_revisions,checkstyle,all
0.39,8.36E-147,yes,stdSLOC_with_revisions,commons-io,all
0.36,0,yes,stdSLOC_with_revisions,commons-lang,all
0.45,0,yes,stdSLOC_with_revisions,cucumber-jvm,all
0.17,0,yes,stdSLOC_with_revisions,docx4j,all
0.37,0,yes,stdSLOC_with_revisions,fastjson,all
0.42,6.55E-142,yes,stdSLOC_with_revisions,gson,all
0.44,0,yes,stdSLOC_with_revisions,hibernate-search,all
0.42,0,yes,stdSLOC_with_revisions,javaparser,all
0.43,0,yes,stdSLOC_with_revisions,jgit,all
0.39,2.30E-200,yes,stdSLOC_with_revisions,jna,all
0.36,5.75E-166,yes,stdSLOC_with_revisions,junit4,all
0.43,0,yes,stdSLOC_with_revisions,junit5,all
0.44,0,yes,stdSLOC_with_revisions,mockito,all
0.53,0,yes,stdSLOC_with_revisions,okhttp,all
0.48,0,yes,stdSLOC_with_revisions,pmd,all
0.42,0,yes,stdSLOC_with_revisions,spring-boot,all
0.59,0,yes,stdSLOC_with_revisions,titan,all
0.42,0,yes,stdSLOC_with_revisions,wicket,all
0.03,1.65E-06,yes,versionedSLOC_with_bugs,antlr4,all
0.14,4.46E-188,yes,versionedSLOC_with_bugs,assertj-core,all
0.01,0.46728181,no,versionedSLOC_with_bugs,astyanax,all
0.26,2.58E-167,yes,versionedSLOC_with_bugs,atmosphere,all
0.19,0,yes,versionedSLOC_with_bugs,drill,all
0.12,1.23E-93,yes,versionedSLOC_with_bugs,DSpace,all
0.21,9.77E-90,yes,versionedSLOC_with_bugs,Essentials,all
0.14,0,yes,versionedSLOC_with_bugs,flink,all
0.21,4.56E-72,yes,versionedSLOC_with_bugs,flyway,all
0.19,0,yes,versionedSLOC_with_bugs,guava,all
0.11,1.97E-16,yes,versionedSLOC_with_bugs,hawtio,all
0.19,7.31E-43,yes,versionedSLOC_with_bugs,hector,all
0.11,1.09E-268,yes,versionedSLOC_with_bugs,hibernate-orm,all
0.18,1.80E-62,yes,versionedSLOC_with_bugs,Hystrix,all
0.21,0,yes,versionedSLOC_with_bugs,jetty.project,all
0.09,9.45E-47,yes,versionedSLOC_with_bugs,logging-log4j2,all
0.15,2.29E-44,yes,versionedSLOC_with_bugs,lombok,all
0.08,5.81E-37,yes,versionedSLOC_with_bugs,mongo-java-driver,all
0.24,2.04E-106,yes,versionedSLOC_with_bugs,mybatis-3,all
0.23,0,yes,versionedSLOC_with_bugs,netty,all
0.1,1.99E-74,yes,versionedSLOC_with_bugs,openmrs-core,all
0.05,0.0008638341428,yes,versionedSLOC_with_bugs,rabbitmq-java-client,all
0.12,4.40E-106,yes,versionedSLOC_with_bugs,RxJava,all
0.12,0,yes,versionedSLOC_with_bugs,sonarqube,all
0.21,0,yes,versionedSLOC_with_bugs,soot,all
0.08,0.0004815372906,yes,versionedSLOC_with_bugs,spark,all
0.1,7.36E-189,yes,versionedSLOC_with_bugs,spring-framework,all
0.15,3.33E-58,yes,versionedSLOC_with_bugs,swagger-core,all
0.1,1.96E-16,yes,versionedSLOC_with_bugs,truth,all
0.17,2.85E-41,yes,versionedSLOC_with_bugs,Twitter4J,all
0.15,2.90E-93,yes,versionedSLOC_with_bugs,voldemort,all
0.14,3.51E-31,yes,versionedSLOC_with_bugs,vraptor4,all
0.17,0,yes,versionedSLOC_with_bugs,wildfly,all
0.18,7.32E-211,yes,versionedSLOC_with_bugs,ant,all
0.19,1.48E-144,yes,versionedSLOC_with_bugs,checkstyle,all
0.04,0.006134954696,yes,versionedSLOC_with_bugs,commons-io,all
0.11,3.81E-49,yes,versionedSLOC_with_bugs,commons-lang,all
0.1,1.44E-21,yes,versionedSLOC_with_bugs,cucumber-jvm,all
0.14,5.30E-210,yes,versionedSLOC_with_bugs,docx4j,all
0.2,1.18E-202,yes,versionedSLOC_with_bugs,fastjson,all
0.11,9.46E-13,yes,versionedSLOC_with_bugs,gson,all
0.1,2.19E-74,yes,versionedSLOC_with_bugs,hibernate-search,all
0.09,5.42E-60,yes,versionedSLOC_with_bugs,javaparser,all
0.11,3.06E-50,yes,versionedSLOC_with_bugs,jgit,all
0.15,1.53E-34,yes,versionedSLOC_with_bugs,jna,all
0.09,6.54E-12,yes,versionedSLOC_with_bugs,junit4,all
0.09,9.82E-27,yes,versionedSLOC_with_bugs,junit5,all
0.08,7.57E-17,yes,versionedSLOC_with_bugs,mockito,all
0.14,5.42E-47,yes,versionedSLOC_with_bugs,okhttp,all
0.17,3.19E-232,yes,versionedSLOC_with_bugs,pmd,all
0.09,1.66E-85,yes,versionedSLOC_with_bugs,spring-boot,all
0.21,1.69E-103,yes,versionedSLOC_with_bugs,titan,all
0.04,4.90E-21,yes,versionedSLOC_with_bugs,wicket,all
-0.02,0.002308031025,yes,versionedSLOC_with_revisions,antlr4,all
0.18,0,yes,versionedSLOC_with_revisions,assertj-core,all
0.05,6.32E-08,yes,versionedSLOC_with_revisions,astyanax,all
0.36,0,yes,versionedSLOC_with_revisions,atmosphere,all
0.29,0,yes,versionedSLOC_with_revisions,drill,all
0.26,0,yes,versionedSLOC_with_revisions,DSpace,all
0.31,1.76E-219,yes,versionedSLOC_with_revisions,Essentials,all
0.25,0,yes,versionedSLOC_with_revisions,flink,all
0.27,7.88E-131,yes,versionedSLOC_with_revisions,flyway,all
0.22,0,yes,versionedSLOC_with_revisions,guava,all
0.23,3.94E-62,yes,versionedSLOC_with_revisions,hawtio,all
0.27,5.37E-100,yes,versionedSLOC_with_revisions,hector,all
0.12,0,yes,versionedSLOC_with_revisions,hibernate-orm,all
0.35,1.13E-259,yes,versionedSLOC_with_revisions,Hystrix,all
0.34,0,yes,versionedSLOC_with_revisions,jetty.project,all
0.19,3.81E-224,yes,versionedSLOC_with_revisions,logging-log4j2,all
0.25,3.85E-136,yes,versionedSLOC_with_revisions,lombok,all
0.16,4.52E-186,yes,versionedSLOC_with_revisions,mongo-java-driver,all
0.31,4.39E-193,yes,versionedSLOC_with_revisions,mybatis-3,all
0.31,0,yes,versionedSLOC_with_revisions,netty,all
0.14,5.67E-144,yes,versionedSLOC_with_revisions,openmrs-core,all
0.25,5.71E-83,yes,versionedSLOC_with_revisions,rabbitmq-java-client,all
0.26,0,yes,versionedSLOC_with_revisions,RxJava,all
0.28,0,yes,versionedSLOC_with_revisions,sonarqube,all
0.27,0,yes,versionedSLOC_with_revisions,soot,all
0.22,9.30E-24,yes,versionedSLOC_with_revisions,spark,all
0.19,0,yes,versionedSLOC_with_revisions,spring-framework,all
0.18,7.07E-92,yes,versionedSLOC_with_revisions,swagger-core,all
0.18,5.00E-62,yes,versionedSLOC_with_revisions,truth,all
0.15,7.39E-39,yes,versionedSLOC_with_revisions,Twitter4J,all
0.35,0,yes,versionedSLOC_with_revisions,voldemort,all
0.18,5.50E-59,yes,versionedSLOC_with_revisions,vraptor4,all
0.33,0,yes,versionedSLOC_with_revisions,wildfly,all
0.28,0,yes,versionedSLOC_with_revisions,ant,all
0.23,1.79E-251,yes,versionedSLOC_with_revisions,checkstyle,all
0.09,5.60E-11,yes,versionedSLOC_with_revisions,commons-io,all
0.13,5.13E-69,yes,versionedSLOC_with_revisions,commons-lang,all
0.22,3.46E-109,yes,versionedSLOC_with_revisions,cucumber-jvm,all
0.29,0,yes,versionedSLOC_with_revisions,docx4j,all
0.38,0,yes,versionedSLOC_with_revisions,fastjson,all
0.18,3.14E-38,yes,versionedSLOC_with_revisions,gson,all
0.11,9.77E-102,yes,versionedSLOC_with_revisions,hibernate-search,all
0.09,1.36E-64,yes,versionedSLOC_with_revisions,javaparser,all
0.26,0.00E-02,yes,versionedSLOC_with_revisions,jgit,all
0.11,3.09E-21,yes,versionedSLOC_with_revisions,jna,all
0.03,0.007717160702,yes,versionedSLOC_with_revisions,junit4,all
0.12,7.35E-56,yes,versionedSLOC_with_revisions,junit5,all
0.1,1.09E-29,yes,versionedSLOC_with_revisions,mockito,all
0.15,1.12E-66,yes,versionedSLOC_with_revisions,okhttp,all
0.21,0,yes,versionedSLOC_with_revisions,pmd,all
0.15,4.39E-286,yes,versionedSLOC_with_revisions,spring-boot,all
0.34,0,yes,versionedSLOC_with_revisions,titan,all
0.08,1.95E-103,yes,versionedSLOC_with_revisions,wicket,all
0.24,1.91E-56,yes,avgSLOC_with_bugs,antlr4,modified at least once
-0.06,4.45E-18,yes,avgSLOC_with_bugs,assertj-core,modified at least once
0.1,1.80E-11,yes,avgSLOC_with_bugs,astyanax,modified at least once
0.32,5.90E-78,yes,avgSLOC_with_bugs,atmosphere,modified at least once
0.2,1.89E-246,yes,avgSLOC_with_bugs,drill,modified at least once
0.23,7.72E-234,yes,avgSLOC_with_bugs,DSpace,modified at least once
0.36,3.14E-116,yes,avgSLOC_with_bugs,Essentials,modified at least once
0.23,0,yes,avgSLOC_with_bugs,flink,modified at least once
0.24,2.95E-34,yes,avgSLOC_with_bugs,flyway,modified at least once
0.18,5.37E-251,yes,avgSLOC_with_bugs,guava,modified at least once
0.2,8.28E-16,yes,avgSLOC_with_bugs,hawtio,modified at least once
0.27,5.03E-34,yes,avgSLOC_with_bugs,hector,modified at least once
0.17,0,yes,avgSLOC_with_bugs,hibernate-orm,modified at least once
0.26,8.38E-40,yes,avgSLOC_with_bugs,Hystrix,modified at least once
0.27,0,yes,avgSLOC_with_bugs,jetty.project,modified at least once
0.13,9.24E-50,yes,avgSLOC_with_bugs,logging-log4j2,modified at least once
0.13,2.85E-19,yes,avgSLOC_with_bugs,lombok,modified at least once
0.15,1.87E-64,yes,avgSLOC_with_bugs,mongo-java-driver,modified at least once
0.26,3.06E-121,yes,avgSLOC_with_bugs,mybatis-3,modified at least once
0.26,0,yes,avgSLOC_with_bugs,netty,modified at least once
0.18,7.38E-112,yes,avgSLOC_with_bugs,openmrs-core,modified at least once
-0.03,0.08470482722,no,avgSLOC_with_bugs,rabbitmq-java-client,modified at least once
-0.01,0.2436893125,no,avgSLOC_with_bugs,RxJava,modified at least once
0.17,0,yes,avgSLOC_with_bugs,sonarqube,modified at least once
0.04,1.81E-15,yes,avgSLOC_with_bugs,soot,modified at least once
0.15,0.002273687906,yes,avgSLOC_with_bugs,spark,modified at least once
0.13,2.67E-286,yes,avgSLOC_with_bugs,spring-framework,modified at least once
0.21,5.60E-30,yes,avgSLOC_with_bugs,swagger-core,modified at least once
0.13,8.49E-16,yes,avgSLOC_with_bugs,truth,modified at least once
0.31,2.98E-84,yes,avgSLOC_with_bugs,Twitter4J,modified at least once
0.16,7.37E-40,yes,avgSLOC_with_bugs,voldemort,modified at least once
0.26,2.37E-39,yes,avgSLOC_with_bugs,vraptor4,modified at least once
0.22,0,yes,avgSLOC_with_bugs,wildfly,modified at least once
0.15,9.73E-82,yes,avgSLOC_with_bugs,ant,modified at least once
0.18,4.47E-111,yes,avgSLOC_with_bugs,checkstyle,modified at least once
0.07,3.75E-05,yes,avgSLOC_with_bugs,commons-io,modified at least once
0.13,5.93E-41,yes,avgSLOC_with_bugs,commons-lang,modified at least once
0.18,1.14E-49,yes,avgSLOC_with_bugs,cucumber-jvm,modified at least once
0.14,1.59E-138,yes,avgSLOC_with_bugs,docx4j,modified at least once
0.17,1.62E-31,yes,avgSLOC_with_bugs,fastjson,modified at least once
0.11,2.26E-07,yes,avgSLOC_with_bugs,gson,modified at least once
0.15,1.13E-101,yes,avgSLOC_with_bugs,hibernate-search,modified at least once
0.1,2.73E-39,yes,avgSLOC_with_bugs,javaparser,modified at least once
-0.07,2.08E-15,yes,avgSLOC_with_bugs,jgit,modified at least once
0.17,1.45E-33,yes,avgSLOC_with_bugs,jna,modified at least once
0.16,4.54E-24,yes,avgSLOC_with_bugs,junit4,modified at least once
0.15,1.07E-39,yes,avgSLOC_with_bugs,junit5,modified at least once
0.09,4.02E-15,yes,avgSLOC_with_bugs,mockito,modified at least once
0.27,5.78E-96,yes,avgSLOC_with_bugs,okhttp,modified at least once
0.21,1.98E-214,yes,avgSLOC_with_bugs,pmd,modified at least once
0.13,3.54E-125,yes,avgSLOC_with_bugs,spring-boot,modified at least once
0.3,2.17E-49,yes,avgSLOC_with_bugs,titan,modified at least once
0.08,2.45E-33,yes,avgSLOC_with_bugs,wicket,modified at least once
0.3,6.63E-107,yes,avgSLOC_with_revisions,antlr4,modified at least once
0.08,1.13E-35,yes,avgSLOC_with_revisions,assertj-core,modified at least once
0.17,7.19E-39,yes,avgSLOC_with_revisions,astyanax,modified at least once
0.36,1.21E-98,yes,avgSLOC_with_revisions,atmosphere,modified at least once
0.24,0,yes,avgSLOC_with_revisions,drill,modified at least once
0.29,0,yes,avgSLOC_with_revisions,DSpace,modified at least once
0.38,1.54E-157,yes,avgSLOC_with_revisions,Essentials,modified at least once
0.3,0,yes,avgSLOC_with_revisions,flink,modified at least once
0.29,2.21E-52,yes,avgSLOC_with_revisions,flyway,modified at least once
0.04,2.53E-12,yes,avgSLOC_with_revisions,guava,modified at least once
0.29,1.87E-34,yes,avgSLOC_with_revisions,hawtio,modified at least once
0.31,3.91E-54,yes,avgSLOC_with_revisions,hector,modified at least once
0.1,2.59E-141,yes,avgSLOC_with_revisions,hibernate-orm,modified at least once
0.37,6.69E-93,yes,avgSLOC_with_revisions,Hystrix,modified at least once
0.34,0,yes,avgSLOC_with_revisions,jetty.project,modified at least once
0.25,8.22E-224,yes,avgSLOC_with_revisions,logging-log4j2,modified at least once
0.23,3.53E-63,yes,avgSLOC_with_revisions,lombok,modified at least once
0.19,1.31E-141,yes,avgSLOC_with_revisions,mongo-java-driver,modified at least once
0.31,3.55E-184,yes,avgSLOC_with_revisions,mybatis-3,modified at least once
0.26,0,yes,avgSLOC_with_revisions,netty,modified at least once
0.29,0,yes,avgSLOC_with_revisions,openmrs-core,modified at least once
0.24,2.03E-50,yes,avgSLOC_with_revisions,rabbitmq-java-client,modified at least once
0.08,2.40E-19,yes,avgSLOC_with_revisions,RxJava,modified at least once
0.34,0,yes,avgSLOC_with_revisions,sonarqube,modified at least once
0.3,0,yes,avgSLOC_with_revisions,soot,modified at least once
0.17,0.0001936807536,yes,avgSLOC_with_revisions,spark,modified at least once
0.24,0,yes,avgSLOC_with_revisions,spring-framework,modified at least once
0.17,1.56E-23,yes,avgSLOC_with_revisions,swagger-core,modified at least once
0.16,1.14E-28,yes,avgSLOC_with_revisions,truth,modified at least once
0.21,1.71E-47,yes,avgSLOC_with_revisions,Twitter4J,modified at least once
0.3,4.22E-157,yes,avgSLOC_with_revisions,voldemort,modified at least once
0.36,2.13E-87,yes,avgSLOC_with_revisions,vraptor4,modified at least once
0.29,0,yes,avgSLOC_with_revisions,wildfly,modified at least once
0.27,2.16E-293,yes,avgSLOC_with_revisions,ant,modified at least once
0.26,8.26E-251,yes,avgSLOC_with_revisions,checkstyle,modified at least once
0.12,1.62E-15,yes,avgSLOC_with_revisions,commons-io,modified at least once
0.12,1.96E-36,yes,avgSLOC_with_revisions,commons-lang,modified at least once
0.24,8.79E-103,yes,avgSLOC_with_revisions,cucumber-jvm,modified at least once
0.03,3.29E-07,yes,avgSLOC_with_revisions,docx4j,modified at least once
0.33,1.88E-114,yes,avgSLOC_with_revisions,fastjson,modified at least once
0.1,7.43E-07,yes,avgSLOC_with_revisions,gson,modified at least once
0.25,0,yes,avgSLOC_with_revisions,hibernate-search,modified at least once
0.19,7.55E-181,yes,avgSLOC_with_revisions,javaparser,modified at least once
0.29,3.09E-270,yes,avgSLOC_with_revisions,jgit,modified at least once
0.07,1.87E-07,yes,avgSLOC_with_revisions,jna,modified at least once
0.19,8.97E-40,yes,avgSLOC_with_revisions,junit4,modified at least once
0.2,1.51E-82,yes,avgSLOC_with_revisions,junit5,modified at least once
0.05,3.42E-07,yes,avgSLOC_with_revisions,mockito,modified at least once
0.21,2.70E-75,yes,avgSLOC_with_revisions,okhttp,modified at least once
0.24,0,yes,avgSLOC_with_revisions,pmd,modified at least once
0.26,0,yes,avgSLOC_with_revisions,spring-boot,modified at least once
0.37,2.55E-87,yes,avgSLOC_with_revisions,titan,modified at least once
0.09,5.84E-58,yes,avgSLOC_with_revisions,wicket,modified at least once
0.19,3.98E-36,yes,introSLOC_with_bugs,antlr4,modified at least once
-0.07,8.46E-27,yes,introSLOC_with_bugs,assertj-core,modified at least once
0.07,5.75E-06,yes,introSLOC_with_bugs,astyanax,modified at least once
0.28,1.02E-56,yes,introSLOC_with_bugs,atmosphere,modified at least once
0.16,8.55E-163,yes,introSLOC_with_bugs,drill,modified at least once
0.2,1.01E-180,yes,introSLOC_with_bugs,DSpace,modified at least once
0.36,6.41E-114,yes,introSLOC_with_bugs,Essentials,modified at least once
0.21,0,yes,introSLOC_with_bugs,flink,modified at least once
0.19,1.40E-22,yes,introSLOC_with_bugs,flyway,modified at least once
0.18,2.27E-249,yes,introSLOC_with_bugs,guava,modified at least once
0.16,1.68E-10,yes,introSLOC_with_bugs,hawtio,modified at least once
0.22,2.51E-22,yes,introSLOC_with_bugs,hector,modified at least once
0.16,0,yes,introSLOC_with_bugs,hibernate-orm,modified at least once
0.23,3.05E-32,yes,introSLOC_with_bugs,Hystrix,modified at least once
0.24,0,yes,introSLOC_with_bugs,jetty.project,modified at least once
0.11,7.05E-38,yes,introSLOC_with_bugs,logging-log4j2,modified at least once
0.1,3.13E-12,yes,introSLOC_with_bugs,lombok,modified at least once
0.11,5.28E-36,yes,introSLOC_with_bugs,mongo-java-driver,modified at least once
0.25,6.35E-106,yes,introSLOC_with_bugs,mybatis-3,modified at least once
0.23,4.02E-257,yes,introSLOC_with_bugs,netty,modified at least once
0.16,6.60E-85,yes,introSLOC_with_bugs,openmrs-core,modified at least once
-0.03,0.07447537051,no,introSLOC_with_bugs,rabbitmq-java-client,modified at least once
-0.01,0.2021607384,no,introSLOC_with_bugs,RxJava,modified at least once
0.15,1.18E-253,yes,introSLOC_with_bugs,sonarqube,modified at least once
0,0.586524016,no,introSLOC_with_bugs,soot,modified at least once
0.13,0.006470420676,yes,introSLOC_with_bugs,spark,modified at least once
0.12,1.05E-238,yes,introSLOC_with_bugs,spring-framework,modified at least once
0.2,1.09E-26,yes,introSLOC_with_bugs,swagger-core,modified at least once
0.09,4.70E-08,yes,introSLOC_with_bugs,truth,modified at least once
0.32,5.45E-84,yes,introSLOC_with_bugs,Twitter4J,modified at least once
0.13,4.67E-28,yes,introSLOC_with_bugs,voldemort,modified at least once
0.25,1.00E-35,yes,introSLOC_with_bugs,vraptor4,modified at least once
0.18,2.39E-240,yes,introSLOC_with_bugs,wildfly,modified at least once
0.13,3.04E-66,yes,introSLOC_with_bugs,ant,modified at least once
0.17,7.50E-99,yes,introSLOC_with_bugs,checkstyle,modified at least once
0.06,0.0001685598692,yes,introSLOC_with_bugs,commons-io,modified at least once
0.11,2.77E-28,yes,introSLOC_with_bugs,commons-lang,modified at least once
0.15,5.55E-32,yes,introSLOC_with_bugs,cucumber-jvm,modified at least once
0.13,7.50E-128,yes,introSLOC_with_bugs,docx4j,modified at least once
0.15,1.82E-22,yes,introSLOC_with_bugs,fastjson,modified at least once
0.08,0.000131591551,yes,introSLOC_with_bugs,gson,modified at least once
0.13,4.58E-77,yes,introSLOC_with_bugs,hibernate-search,modified at least once
0.02,0.005388290806,yes,introSLOC_with_bugs,javaparser,modified at least once
-0.08,8.42E-18,yes,introSLOC_with_bugs,jgit,modified at least once
0.15,1.62E-24,yes,introSLOC_with_bugs,jna,modified at least once
0.16,1.30E-22,yes,introSLOC_with_bugs,junit4,modified at least once
0.14,4.21E-30,yes,introSLOC_with_bugs,junit5,modified at least once
0.08,4.97E-13,yes,introSLOC_with_bugs,mockito,modified at least once
0.25,6.35E-82,yes,introSLOC_with_bugs,okhttp,modified at least once
0.18,3.88E-165,yes,introSLOC_with_bugs,pmd,modified at least once
0.11,3.58E-81,yes,introSLOC_with_bugs,spring-boot,modified at least once
0.26,7.14E-39,yes,introSLOC_with_bugs,titan,modified at least once
0.04,5.36E-11,yes,introSLOC_with_bugs,wicket,modified at least once
0.26,2.29E-78,yes,introSLOC_with_revisions,antlr4,modified at least once
0.08,6.90E-31,yes,introSLOC_with_revisions,assertj-core,modified at least once
0.13,8.07E-23,yes,introSLOC_with_revisions,astyanax,modified at least once
0.29,2.43E-61,yes,introSLOC_with_revisions,atmosphere,modified at least once
0.19,8.27E-242,yes,introSLOC_with_revisions,drill,modified at least once
0.25,4.79E-291,yes,introSLOC_with_revisions,DSpace,modified at least once
0.35,4.54E-125,yes,introSLOC_with_revisions,Essentials,modified at least once
0.27,0,yes,introSLOC_with_revisions,flink,modified at least once
0.24,2.47E-36,yes,introSLOC_with_revisions,flyway,modified at least once
0.02,1.36E-06,yes,introSLOC_with_revisions,guava,modified at least once
0.26,3.13E-27,yes,introSLOC_with_revisions,hawtio,modified at least once
0.23,1.04E-29,yes,introSLOC_with_revisions,hector,modified at least once
0.08,3.13E-100,yes,introSLOC_with_revisions,hibernate-orm,modified at least once
0.34,4.78E-76,yes,introSLOC_with_revisions,Hystrix,modified at least once
0.29,0,yes,introSLOC_with_revisions,jetty.project,modified at least once
0.22,2.05E-174,yes,introSLOC_with_revisions,logging-log4j2,modified at least once
0.19,2.09E-45,yes,introSLOC_with_revisions,lombok,modified at least once
0.15,1.59E-79,yes,introSLOC_with_revisions,mongo-java-driver,modified at least once
0.32,3.59E-192,yes,introSLOC_with_revisions,mybatis-3,modified at least once
0.22,1.44E-259,yes,introSLOC_with_revisions,netty,modified at least once
0.28,1.03E-307,yes,introSLOC_with_revisions,openmrs-core,modified at least once
0.22,1.46E-41,yes,introSLOC_with_revisions,rabbitmq-java-client,modified at least once
0.08,7.43E-20,yes,introSLOC_with_revisions,RxJava,modified at least once
0.32,0,yes,introSLOC_with_revisions,sonarqube,modified at least once
0.25,0,yes,introSLOC_with_revisions,soot,modified at least once
0.16,0.0006951616286,yes,introSLOC_with_revisions,spark,modified at least once
0.21,0,yes,introSLOC_with_revisions,spring-framework,modified at least once
0.12,5.51E-12,yes,introSLOC_with_revisions,swagger-core,modified at least once
0.13,1.52E-18,yes,introSLOC_with_revisions,truth,modified at least once
0.18,1.59E-35,yes,introSLOC_with_revisions,Twitter4J,modified at least once
0.25,2.02E-111,yes,introSLOC_with_revisions,voldemort,modified at least once
0.33,2.98E-71,yes,introSLOC_with_revisions,vraptor4,modified at least once
0.24,0,yes,introSLOC_with_revisions,wildfly,modified at least once
0.23,9.61E-225,yes,introSLOC_with_revisions,ant,modified at least once
0.26,8.51E-240,yes,introSLOC_with_revisions,checkstyle,modified at least once
0.1,3.17E-11,yes,introSLOC_with_revisions,commons-io,modified at least once
